City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
521,bud,39.447,-86.1758,2.01,94,100,2.58,US,1674416115
522,termiz,37.2242,67.2783,-3.95,86,100,1.03,UZ,1674416310
523,vestmannaeyjar,63.4427,-20.2734,2.96,55,98,15.03,IS,1674416310
524,purpe,64.4803,76.6897,-16.3,96,100,2.7,RU,1674416311
525,jiblah,13.9216,44.1467,13.86,75,12,1.56,YE,1674416312
526,coxim,-18.5067,-54.76,28.72,69,90,2.49,BR,1674416312
527,muisne,0.6,-80.0333,26.86,73,47,4.48,EC,1674416313
528,carutapera,-1.195,-46.02,25.63,89,55,3.43,BR,1674416314
529,laviana,43.2333,-5.5333,5.72,86,44,1.4,ES,1674416314
530,walvis bay,-22.9575,14.5053,19.29,80,48,4.0,NA,1674416314
531,leiyang,26.4024,112.8591,6.52,85,100,1.91,CN,1674416315
532,cartagena,10.3997,-75.5144,30.79,62,20,4.12,CO,1674416043
533,hami,42.8,93.45,-12.71,32,0,4.8,CN,1674416186
534,marquette,46.5333,-87.6335,-3.51,90,100,2.11,US,1674416316
535,otane,-39.8833,176.6333,17.23,70,60,3.74,NZ,1674416317
536,palma campania,40.8649,14.5487,7.84,94,100,0.63,IT,1674416317
537,varadero,23.1536,-81.2514,30.42,52,4,2.62,CU,1674416318
538,bulgan,48.8125,103.5347,-33.61,94,24,1.6,MN,1674416318
539,bahia blanca,-38.7196,-62.2724,30.72,32,7,0.45,AR,1674416318
540,salinas,36.6777,-121.6555,13.93,64,0,2.06,US,1674416319
541,kaunas,54.9,23.9,-0.63,86,100,1.54,LT,1674416042
542,collie,-33.3667,116.15,18.31,52,0,2.25,AU,1674416320
543,gayny,60.3071,54.3241,-10.33,99,97,1.32,RU,1674416320
544,calvinia,-31.4707,19.776,21.54,48,0,2.07,ZA,1674416321
545,vostok,46.4856,135.8833,-33.32,98,16,2.05,RU,1674416321
546,khanpur,28.6453,70.6567,12.5,42,0,3.84,PK,1674416322
547,el molino,10.6523,-72.924,33.23,41,34,1.91,CO,1674416322
548,ironton,38.5368,-82.6829,5.08,96,100,0.0,US,1674416322
549,paamiut,61.994,-49.6678,-4.25,83,100,7.03,GL,1674416323
550,verkhnyaya inta,65.9811,60.3094,-6.15,95,100,7.49,RU,1674416324
551,kirakira,-10.4544,161.9205,26.54,82,100,1.13,SB,1674416324
552,balabac,7.9868,117.0645,26.84,80,100,7.56,PH,1674416324
553,lahat,-3.8,103.5333,21.97,99,100,0.98,ID,1674416325
554,ratnagiri,16.9833,73.3,20.67,75,8,3.48,IN,1674416326
555,port lincoln,-34.7333,135.8667,16.44,84,100,5.62,AU,1674416326
556,berdigestyakh,62.0989,126.6992,-38.73,99,100,1.92,RU,1674416326
557,manacapuru,-3.2997,-60.6206,29.07,68,45,1.35,BR,1674416327
558,yeppoon,-23.1333,150.7333,21.88,80,19,3.84,AU,1674416327
559,labytnangi,66.6572,66.4183,-9.94,92,15,3.53,RU,1674416328
560,huilong,31.8111,121.655,6.63,93,100,5.34,CN,1674416328
561,pemangkat,1.1667,108.9667,24.6,89,100,2.22,ID,1674416329
562,saint-augustin,51.226,-58.6502,-7.62,83,19,1.97,CA,1674416329
563,novonikolayevskiy,50.9738,42.3649,-6.23,82,100,2.68,RU,1674416330
564,bandar,2.05,99.75,22.3,97,100,1.18,ID,1674416330
565,bria,6.5423,21.9863,26.03,19,56,0.32,CF,1674416331
566,salamiyah,35.0113,37.0532,10.39,69,0,2.26,SY,1674416331
567,sabang,5.8933,95.3214,26.09,80,100,4.73,ID,1674416332
568,tsiroanomandidy,-18.7667,46.0333,19.0,97,100,5.07,MG,1674416332
569,dillon,34.4166,-79.3712,9.97,97,100,1.55,US,1674416332
570,manzhouli,49.6,117.4333,-36.7,96,56,3.3,CN,1674416333
571,comodoro rivadavia,-45.8667,-67.5,17.92,52,0,4.63,AR,1674416034
572,abonnema,4.7084,6.7931,28.0,71,69,3.72,NG,1674416334
573,biltine,14.5333,20.9167,25.48,14,100,3.37,TD,1674416334
574,bongaree,-27.0797,153.1586,21.14,73,33,1.75,AU,1674416334
575,pemberton,50.3164,-122.8027,1.83,90,90,0.45,CA,1674416335
576,quatre cocos,-20.2078,57.7625,26.06,81,100,2.91,MU,1674416335
